asset_id,generator,zone,technology,cost_key,installed_capacity,p_min_mw,availability_factor,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,commissioning_year_source,enabled,status,plant,plant_slug,tech,tech_name,plant_type,substation,region,edgs_scenario,edgs_earliest_commissioning_year,edgs_fixed_commissioning_year,topology,requires_hydro_asset,requires_vre_profile,commissioning_policy,builder_version
hydro_storage_canterbury_coleridge,hydro_storage,canterbury,hydro_storage,hydro_storage_canterbury_coleridge,39.500000,0.000000,1.000000,,,,existing,edgs_status_current,True,Current,Coleridge,coleridge,HydSC,"Hydro, schedulable",PELE,COL,Canterbury,Reference,,,14,True,False,status_first,2026-09-02-central-costs-scenarios-availability
hydro_storage_canterbury_waitaki_hydro_scheme,hydro_storage,canterbury,hydro_storage,hydro_storage_canterbury_waitaki_hydro_scheme,1743.000000,0.000000,1.000000,,,,existing,edgs_status_current,True,Current,Waitaki hydro scheme,waitaki_hydro_scheme,HydSC,"Hydro, schedulable",PELE,WTK,Canterbury,Reference,,,14,True,False,status_first,2026-09-02-central-costs-scenarios-availability
solar_canterbury_brookside_solar_farm,solar,canterbury,solar,solar_canterbury_brookside_solar_farm,50.000000,0.000000,1.000000,2030,2030,,flexible,assumed_from_status_fully_consented,True,Fully consented,Brookside solar farm,brookside_solar_farm,Solar,Solar,PELE,ISL,Canterbury,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_canterbury_clandeboye_solar_farm,solar,canterbury,solar,solar_canterbury_clandeboye_solar_farm,27.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year,True,Fully consented,Clandeboye solar farm,clandeboye_solar_farm,Solar,Solar,PELE,TMK,Canterbury,Reference,2026,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_canterbury_dunsandel_solar_farm,solar,canterbury,solar,solar_canterbury_dunsandel_solar_farm,60.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year,True,Fully consented,Dunsandel solar farm,dunsandel_solar_farm,Solar,Solar,PELE,NOR,Canterbury,Reference,2026,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_canterbury_generic_solar_200mw+_2,solar,canterbury,solar,solar_canterbury_generic_solar_200mw+_2,200.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year;shifted_after_base_year,True,Generic,Generic solar (200MW+): 2,generic_solar_200mw+_2,Solar,Solar,PELE,OHC,Canterbury,Reference,2020,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_canterbury_generic_solar_200mw+_87,solar,canterbury,solar,solar_canterbury_generic_solar_200mw+_87,200.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year;shifted_after_base_year,True,Generic,Generic solar (200MW+): 87,generic_solar_200mw+_87,Solar,Solar,PELE,OHC,Canterbury,Reference,2025,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_canterbury_generic_solar_<100_mw_40,solar,canterbury,solar,solar_canterbury_generic_solar_<100_mw_40,60.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year;shifted_after_base_year,True,Generic,Generic solar (<100 MW): 40,generic_solar_<100_mw_40,Solar,Solar,PELE,CUL,Canterbury,Reference,2025,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_canterbury_generic_solar_<100_mw_79,solar,canterbury,solar,solar_canterbury_generic_solar_<100_mw_79,80.000000,0.000000,1.000000,2030,2030,,flexible,edgs_earliest_commissioning_year,True,Generic,Generic solar (<100 MW): 79,generic_solar_<100_mw_79,Solar,Solar,PELE,ASY,Canterbury,Reference,2030,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_canterbury_kowhai_park_solar_farm,solar,canterbury,solar,solar_canterbury_kowhai_park_solar_farm,150.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year;shifted_after_base_year,True,Early stages,Kōwhai Park solar farm,kowhai_park_solar_farm,Solar,Solar,PELE,ISL,Canterbury,Reference,2025,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
